czas,czujnik1,czujnik2
  3174,99521.27,102733.77
  3183,99520.88,102733.75
  3190,99520.59,102733.64
  3199,99520.58,102733.61
  3208,99520.34,102733.05
  3216,99520.05,102733.61
  3225,99520.44,102733.62
  3233,99520.00,102733.16
  3242,99520.12,102733.31
  3250,99520.42,102733.30
  3258,99519.75,102732.98
  3267,99519.84,102733.02
  3275,99520.03,102733.28
  3284,99520.64,102733.14
  3292,99520.36,102733.42
  3301,99520.58,102734.28
  3309,99520.33,102734.11
  3317,99520.92,102734.27
  3326,99521.55,102734.39
  3334,99521.78,102734.89
  3343,99521.73,102734.48
  3352,99522.23,102735.03
  3360,99521.42,102734.31
  3368,99522.88,102734.69
  3377,99522.14,102734.86
  3385,99522.17,102734.97
  3393,99522.14,102735.00
  3402,99522.66,102734.75
  3411,99521.88,102735.45
  3418,99521.84,102735.42
  3427,99522.17,102735.20
  3435,99521.84,102735.30
  3444,99522.08,102734.92
  3453,99522.36,102735.00
  3461,99522.42,102734.66
  3469,99521.20,102734.17
  3478,99521.22,102734.97
  3486,99521.56,102734.47
  3495,99520.81,102734.45
  3504,99520.69,102734.45
  3511,99520.94,102733.91
  3520,99520.81,102734.14
  3528,99520.55,102733.92
  3536,99520.11,102733.53
  3545,99520.70,102733.73
  3553,99520.38,102733.98
  3562,99519.89,102733.81
  3570,99520.69,102733.45
  3578,99520.25,102733.28
  3587,99520.09,102733.56
  3596,99519.31,102733.83
  3604,99520.23,102733.92
  3612,99520.52,102733.12
  3621,99520.17,102734.12
  3630,99520.98,102733.73
  3637,99521.11,102734.12
  3646,99520.88,102734.27
  3655,99521.45,102734.31
  3663,99521.58,102734.70
  3672,99522.03,102734.52
  3680,99522.16,102735.05
  3689,99522.41,102734.97
  3697,99522.45,102735.52
  3705,99522.86,102735.47
  3714,99522.53,102735.73
  3722,99522.89,102736.19
  3731,99523.25,102735.89
  3739,99523.31,102736.39
  3748,99522.77,102735.80
  3756,99523.05,102735.78
  3764,99522.78,102735.59
  3773,99523.91,102735.45
  3781,99522.91,102735.42
  3790,99522.91,102736.00
  3799,99522.38,102735.84
  3807,99522.91,102735.92
  3816,99522.44,102735.22
  3823,99522.36,102735.92
  3832,99522.00,102735.45
  3840,99521.89,102735.62
  3848,99521.83,102735.59
  3857,99521.61,102735.25
  3865,99521.48,102735.41
  3874,99521.97,102734.75
  3882,99521.30,102734.83
  3890,99520.97,102734.58
  3900,99521.44,102735.05
  3908,99520.62,102734.14
  3916,99521.09,102734.59
  3925,99520.62,102734.39
  3933,99520.66,102734.44
  3942,99520.92,102734.56
  3950,99520.95,102734.72
  3959,99521.06,102734.47
  3967,99520.73,102734.62
  3975,99520.94,102734.62
  3984,99520.95,102734.62
  3992,99521.41,102734.59
  4001,99521.62,102735.17
  4008,99522.05,102735.34
  4017,99522.20,102735.53
  4025,99522.67,102736.00
  4035,99522.27,102736.17
  4042,99523.08,102736.25
  4052,99522.70,102736.45
  4059,99523.08,102735.98
  4067,99523.17,102736.75
  4076,99523.20,102736.55
  4085,99523.39,102736.59
  4093,99523.50,102736.78
  4101,99523.38,102736.81
  4110,99523.52,102736.59
  4118,99523.27,102736.52
  4127,99523.12,102736.66
  4135,99523.77,102736.70
  4143,99522.91,102736.31
  4152,99522.94,102736.19
  4160,99522.72,102736.28
  4169,99523.30,102736.08
  4177,99522.36,102736.08
  4186,99522.25,102735.69
  4195,99522.08,102735.84
  4202,99522.27,102736.09
  4211,99521.55,102735.89
  4219,99521.27,102735.81
  4228,99521.50,102735.41
  4237,99521.55,102735.52
  4245,99521.61,102735.69
  4253,99521.78,102735.41
  4262,99521.31,102734.81
  4270,99521.44,102735.86
  4279,99521.47,102735.34
  4287,99521.81,102735.91
  4295,99521.78,102735.80
  4304,99522.08,102736.00
  4313,99522.19,102736.42
  4321,99522.61,102736.22
  4329,99522.47,102736.48
  4338,99522.83,102736.39
  4346,99523.20,102736.83
  4355,99523.52,102736.86
  4364,99523.62,102737.14
  4371,99523.86,102736.64
  4380,99523.89,102736.62
  4388,99523.62,102737.22
  4397,99523.48,102737.23
  4406,99523.75,102736.94
  4413,99523.89,102737.03
  4422,99523.55,102737.34
  4430,99523.47,102737.66
  4440,99523.77,102736.62
  4447,99523.48,102736.95
  4456,99523.66,102737.00
  4464,99523.19,102737.14
  4473,99523.25,102736.70
  4481,99523.48,102736.45
  4489,99522.67,102737.19
  4497,99522.47,102736.64
  4506,99522.50,102736.39
  4515,99522.47,102736.73
  4523,99522.39,102736.89
  4532,99522.69,102736.44
  4541,99522.20,102736.55
  4548,99522.22,102736.72
  4557,99522.44,102736.16
  4565,99522.69,102736.36
  4574,99522.55,102736.62
  4583,99522.50,102736.78
  4590,99522.55,102736.52
  4599,99522.09,102736.67
  4608,99523.17,102737.42
  4616,99523.20,102736.70
  4625,99523.58,102737.22
  4633,99523.41,102737.70
  4642,99523.84,102737.94
  4650,99524.16,102737.39
  4658,99523.50,102737.61
  4667,99523.97,102738.20
  4676,99524.08,102737.84
  4685,99524.55,102737.80
  4694,99524.22,102738.16
  4701,99524.92,102738.39
  4710,99524.14,102737.83
  4718,99524.06,102737.95
  4727,99524.56,102737.84
  4735,99523.64,102738.02
  4743,99523.72,102737.89
  4751,99523.94,102737.92
  4760,99523.12,102737.56
  4769,99523.31,102737.59
  4777,99522.92,102737.70
  4785,99522.95,102737.42
  4794,99523.16,102737.19
  4803,99523.17,102737.48
  4811,99522.52,102737.67
  4819,99522.58,102737.34
  4827,99522.56,102737.03
  4836,99522.72,102736.97
  4844,99522.39,102737.20
  4852,99522.84,102737.20
  4861,99522.53,102737.02
  4870,99522.70,102737.38
  4878,99522.58,102736.91
  4886,99522.62,102737.39
  4895,99522.98,102737.89
  4903,99522.98,102737.84
  4911,99523.38,102738.05
  4920,99523.83,102737.81
  4928,99523.86,102738.52
  4937,99524.50,102738.81
  4944,99524.53,102739.06
  4953,99524.42,102738.73
  4962,99525.05,102739.05
  4970,99525.44,102739.61
  4979,99525.89,102739.73
  4987,99526.08,102739.83
  4995,99525.92,102739.30
  5004,99526.00,102739.66
  5012,99526.59,102740.12
  5021,99526.27,102740.00
  5029,99526.14,102739.84
  5038,99526.67,102739.80
  5046,99526.59,102739.95
  5055,99526.30,102739.78
  5063,99526.58,102740.47
  5071,99526.70,102740.09
  5080,99525.84,102739.50
  5089,99525.94,102739.64
  5096,99525.70,102739.62
  5105,99525.94,102739.44
  5113,99525.45,102739.56
  5122,99525.84,102739.39
  5130,99525.59,102739.47
  5139,99524.56,102739.11
  5147,99524.23,102739.14
  5156,99524.34,102738.95
  5164,99523.86,102738.64
  5173,99523.72,102738.39
  5181,99523.47,102738.36
  5190,99522.66,102738.19
  5198,99523.23,102737.95
  5207,99522.86,102737.59
  5214,99523.42,102737.61
  5223,99522.95,102737.38
  5231,99522.77,102737.53
  5240,99523.14,102737.92
  5248,99523.16,102737.66
  5257,99522.97,102738.30
  5265,99523.59,102737.94
  5274,99523.55,102738.44
  5282,99523.58,102738.23
  5291,99523.95,102738.84
  5299,99524.34,102738.69
  5308,99524.41,102739.20
  5316,99524.70,102740.05
  5325,99525.30,102739.92
  5334,99525.48,102740.14
  5341,99526.06,102740.31
  5349,99526.66,102740.75
  5358,99526.44,102740.59
  5366,99526.58,102740.66
  5375,99526.97,102740.75
  5384,99527.25,102740.91
  5392,99527.77,102741.83
  5400,99527.52,102741.52
  5409,99527.45,102741.47
  5417,99527.44,102741.67
  5425,99528.08,102741.70
  5434,99527.95,102741.31
  5442,99527.14,102741.66
  5451,99527.38,102741.89
  5459,99527.34,102741.67
  5467,99527.77,102741.45
  5476,99527.34,102741.38
  5484,99526.91,102741.28
  5493,99526.64,102741.33
  5501,99526.25,102740.83
  5510,99526.20,102740.91
  5518,99526.23,102740.69
  5526,99525.81,102740.61
  5535,99525.77,102740.69
  5543,99525.41,102739.81
  5552,99524.97,102740.28
  5560,99524.62,102739.55
  5569,99524.80,102739.44
  5577,99524.61,102739.38
  5585,99523.81,102739.36
  5594,99523.70,102738.86
  5603,99524.05,102739.14
  5610,99524.09,102739.27
  5619,99523.33,102739.44
  5628,99523.92,102739.08
  5637,99523.84,102738.92
  5644,99524.23,102739.61
  5653,99524.48,102739.80
  5661,99524.56,102739.44
  5670,99524.81,102740.44
  5678,99525.47,102740.02
