		sensor 1
		sensor 2
		sensor 1
		sensor 2
  7433;100011.08;101977.05
  7457;100011.19;101975.89
  7480;100010.91;101976.02
  7503;100011.31;101975.89
  7527;100011.61;101974.78
  7549;100011.47;101976.02
  7572;100011.16;101975.16
  7595;100011.33;101974.92
  7619;100011.42;101974.09
  7642;100011.03;101974.30
  7665;100011.11;101974.52
  7689;100011.14;101973.77
  7711;100011.75;101973.27
  7734;100011.22;101973.22
  7758;100011.20;101972.70
  7781;100011.12;101972.81
  7804;100011.06;101971.44
  7828;100011.00;101973.03
  7851;100010.91;101971.80
  7874;100011.17;101971.58
  7897;100011.25;101970.84
  7919;100011.80;101970.75
  7943;100010.97;101971.06
  7966;100011.52;101969.91
  7989;100011.36;101970.47
  8013;100011.33;101970.34
  8036;100011.20;101970.42
  8059;100011.30;101969.88
  8082;100011.36;101969.73
  8106;100011.12;101969.12
  8128;100011.28;101969.86
  8151;100011.72;101968.20
  8175;100011.27;101968.50
  8198;100011.64;101968.73
  8221;100011.31;101968.30
  8245;100011.70;101968.08
  8267;100010.98;101967.27
  8290;100011.34;101966.72
  8314;100011.53;101966.95
  8337;100011.48;101966.39
  8360;100011.31;101966.00
  8383;100011.11;101966.88
  8407;100011.75;101965.31
  8429;100011.12;101965.94
  8452;100011.00;101965.25
  8476;100011.33;101964.92
  8499;100010.94;101964.91
  8522;100010.77;101965.02
  8545;100011.75;101963.06
  8569;100011.12;101964.86
  8592;100011.47;101965.66
  8614;100011.70;101964.47
  8638;100011.34;101963.97
  8661;100011.50;101963.89
  8684;100011.92;101963.33
  8707;100010.77;101962.86
  8731;100011.73;101964.16
  8754;100011.34;101962.75
  8776;100010.98;101964.03
  8801;100011.27;101962.55
  8824;100011.39;101963.28
  8846;100011.34;101963.39
  8869;100011.55;101962.12
  8893;100011.59;101962.67
  8916;100011.16;101961.83
  8939;100011.39;101961.88
  8962;100011.84;101961.52
  8986;100011.23;101962.88
  9009;100011.41;101961.45
  9031;100011.31;101961.64
  9055;100010.89;101961.75
  9078;100011.39;101961.77
  9101;100011.41;101962.19
  9124;100011.12;101962.12
  9148;100011.59;101961.47
  9171;100011.36;101962.73
  9193;100011.17;101963.81
  9217;100011.20;101963.45
  9240;100011.78;101965.02
  9263;100011.53;101965.98
  9287;100011.17;101965.27
  9310;100010.89;101966.05
  9333;100011.53;101968.33
  9356;100011.47;101966.67
  9379;100011.56;101967.55
  9402;100011.59;101967.94
  9425;100011.52;101969.84
  9449;100011.52;101970.36
  9472;100011.27;101970.94
  9495;100011.66;101971.14
  9518;100011.22;101972.05
  9542;100011.56;101973.31
  9564;100011.41;101974.12
  9587;100011.75;101974.92
  9611;100011.38;101977.16
  9634;100011.28;101977.00
  9657;100012.33;101978.92
  9681;100011.28;101979.02
  9704;100010.98;101980.88
  9726;100011.72;101981.52
  9749;100011.48;101982.98
  9773;100011.88;101983.28
  9796;100011.69;101985.00
  9819;100011.62;101985.97
  9842;100011.34;101987.84
  9866;100011.98;101988.47
  9889;100011.73;101989.88
  9911;100011.38;101990.11
  9935;100012.03;101991.55
  9958;100012.27;101993.44
  9981;100011.88;101993.58
 10004;100011.52;101995.00
 10027;100011.20;101996.00
 10051;100011.67;101997.88
 10074;100011.83;101999.56
 10097;100011.73;102001.42
 10121;100011.36;102002.77
 10144;100011.50;102004.41
 10166;100011.50;102006.42
 10189;100012.05;102007.28
 10213;100011.59;102010.05
 10236;100011.25;102012.16
 10259;100011.27;102013.50
 10283;100011.69;102015.33
 10306;100011.75;102016.69
 10329;100011.56;102017.89
 10352;100011.67;102020.36
 10375;100011.72;102021.38
 10398;100011.52;102022.91
 10421;100011.89;102024.44
 10445;100011.81;102028.11
 10468;100011.83;102029.33
 10491;100011.59;102030.94
 10514;100011.52;102031.81
 10538;100011.59;102034.17
 10561;100011.97;102036.41
 10584;100011.08;102038.28
 10606;100011.31;102040.14
 10630;100012.16;102041.83
 10653;100011.58;102044.08
 10676;100011.69;102045.81
 10700;100012.19;102049.00
 10723;100012.02;102050.77
 10746;100011.02;102051.28
 10770;100011.02;102053.45
 10792;100011.33;102054.88
 10815;100012.11;102056.81
 10838;100011.84;102056.95
 10862;100012.03;102059.30
 10885;100012.00;102061.30
 10908;100011.98;102061.39
 10931;100011.75;102063.94
 10954;100011.73;102065.47
 10978;100012.03;102065.38
 11001;100011.70;102065.98
 11024;100011.58;102067.41
 11046;100011.33;102069.31
 11071;100011.30;102069.09
 11093;100011.95;102069.28
 11117;100011.88;102069.78
 11139;100011.67;102069.98
 11162;100011.94;102070.59
 11186;100011.61;102070.09
 11209;100011.52;102069.36
 11232;100011.80;102068.83
 11256;100011.77;102068.14
 11278;100011.66;102067.62
 11302;100012.14;102067.12
 11325;100011.50;102066.30
 11348;100011.47;102065.45
 11371;100012.00;102065.47
 11395;100012.09;102064.14
 11418;100012.02;102064.08
 11440;100011.66;102063.80
 11464;100012.39;102064.86
 11487;100011.73;102063.91
 11510;100012.03;102063.34
 11533;100011.56;102064.23
