		sensor 1
		sensor 2
		sensor 1
		sensor 2
Connecting to server... 
Connected to server at 192.168.100.10:5000
  3966;97693.69;107513.70
  3974;97693.52;107513.84
  3983;97693.89;107514.06
  3992;97693.56;107514.14
  3999;97693.20;107513.64
  4008;97693.41;107513.78
  4016;97693.50;107513.77
  4025;97693.28;107513.47
  4033;97693.16;107513.98
  4042;97694.03;107514.09
  4050;97693.83;107513.86
  4059;97693.50;107514.23
  4067;97693.45;107513.92
  4076;97693.17;107513.44
  4083;97693.31;107514.12
  4092;97693.58;107513.44
  4100;97693.98;107513.67
  4109;97693.42;107514.00
  4117;97693.38;107513.86
  4127;97693.14;107513.69
  4134;97693.78;107513.95
  4143;97693.44;107513.97
  4151;97693.36;107513.67
  4160;97693.42;107513.84
  4168;97693.58;107513.81
  4177;97693.78;107513.86
  4185;97693.06;107514.03
  4194;97693.75;107514.12
  4202;97693.66;107513.91
  4211;97693.27;107513.78
  4219;97693.23;107513.84
  4227;97694.09;107513.77
  4236;97693.56;107513.98
  4244;97693.36;107513.89
  4252;97693.55;107513.56
  4261;97693.31;107513.72
  4269;97693.41;107513.86
  4278;97693.25;107513.52
  4286;97693.70;107513.59
  4295;97693.42;107513.48
  4303;97693.56;107514.03
  4312;97693.67;107513.52
  4320;97693.59;107513.94
  4329;97693.66;107513.86
  4336;97693.75;107513.81
  4345;97693.17;107513.47
  4353;97693.50;107513.81
  4362;97693.88;107514.02
  4370;97693.42;107513.80
  4379;97693.23;107513.84
  4387;97693.72;107513.45
  4396;97693.33;107514.28
  4404;97693.55;107513.59
  4413;97693.14;107513.86
  4421;97693.48;107514.00
  4430;97693.47;107513.91
  4438;97693.00;107513.41
  4446;97693.47;107513.94
  4455;97692.95;107513.28
  4463;97693.73;107513.98
  4472;97693.27;107513.97
  4480;97693.39;107513.69
  4489;97693.42;107513.55
  4497;97693.45;107513.80
  4505;97693.09;107513.52
  4514;97693.56;107513.53
  4522;97693.47;107513.62
  4531;97692.86;107513.59
  4539;97692.89;107513.42
  4548;97693.33;107514.03
  4556;97693.53;107513.58
  4565;97693.55;107513.44
  4572;97693.48;107513.38
  4582;97693.27;107513.78
  4589;97693.34;107513.86
  4598;97693.44;107513.55
  4606;97693.06;107513.56
  4615;97693.03;107513.94
  4623;97693.08;107513.61
  4631;97693.02;107513.81
  4640;97693.66;107513.64
  4648;97693.14;107513.45
  4657;97693.44;107513.41
  4666;97693.72;107513.66
  4674;97693.47;107513.72
  4683;97693.48;107513.41
  4690;97692.97;107513.59
  4699;97693.59;107513.69
  4707;97693.31;107513.39
  4717;97693.23;107513.69
  4724;97693.16;107513.77
  4733;97693.27;107513.89
  4741;97693.27;107513.89
  4750;97693.25;107513.64
  4759;97693.66;107513.75
  4767;97693.25;107513.56
  4776;97693.31;107513.31
  4784;97693.62;107513.70
  4793;97693.17;107513.92
  4800;97693.89;107513.75
  4810;97693.25;107513.36
  4817;97693.41;107513.80
  4826;97693.70;107513.48
  4834;97693.41;107513.67
  4842;97693.14;107513.36
